"","Fo","Fm","FvFm","sample_id","temp","colony","leachate","species","days_of_exposure","treatment"
"143",696,1822,0.618,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"144",472,1315,0.641,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"145",240,694,0.654,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"146",261,727,0.641,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"147",292,897,0.674,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"148",692,2080,0.667,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"149",930,2536,0.633,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"150",712,2099,0.661,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"151",537,1426,0.623,"H7.2C","hot",7,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"152",322,926,0.652,"H6.2C","hot",6,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"153",493,1303,0.622,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"154",620,1794,0.654,"H4.2C","hot",4,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"155",462,1351,0.658,"H5.2C","hot",5,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"156",538,1424,0.622,"H8.2H","hot",8,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"157",895,2190,0.591,"H10.2H","hot",10,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"158",359,1004,0.642,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"159",440,2084,0.789,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"160",368,1013,0.637,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"161",269,790,0.659,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"162",608,1648,0.631,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"163",477,1390,0.657,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"164",623,1753,0.645,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"165",411,1210,0.66,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"166",327,875,0.626,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"167",265,759,0.651,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"168",504,1399,0.64,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"169",353,1006,0.649,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"170",650,1845,0.648,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"171",541,1433,0.622,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"172",706,1566,0.549,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"173",258,734,0.649,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"174",232,695,0.666,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"175",1017,2883,0.647,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.","2","ambient_high"
"176",326,957,0.659,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"177",68,279,0.756,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"178",367,939,0.609,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"179",678,1814,0.626,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"180",410,1149,0.643,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"181",667,1947,0.657,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"182",765,2124,0.64,"A10.2C","ambient",10,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"183",417,1235,0.662,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"184",483,1261,0.617,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"185",588,1549,0.62,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"186",329,979,0.664,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"187",141,473,0.702,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"188",204,502,0.594,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"189",528,1506,0.649,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"190",297,804,0.631,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"191",1070,2981,0.641,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"192",633,1832,0.654,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"193",467,1381,0.662,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"194",909,2714,0.665,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"195",228,713,0.68,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"196",251,656,0.617,"H10.2L","hot",10,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"197",210,626,0.665,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"198",533,1551,0.656,"H4.2L","hot",4,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"199",367,1100,0.666,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"200",276,883,0.687,"H7.2L","hot",7,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"201",370,1091,0.661,"H5.2H","hot",5,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"202",258,768,0.664,"H6.2H","hot",6,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"203",854,2229,0.617,"H9.2H","hot",9,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"204",404,1112,0.637,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"205",636,1790,0.645,"H2.2H","hot",2,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"206",471,1377,0.658,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"207",291,973,0.701,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"208",463,1300,0.644,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"209",310,905,0.657,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"210",515,1479,0.652,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"211",633,1703,0.628,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"212",418,1188,0.648,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"213",401,1121,0.642,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"214",149,432,0.655,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"215",386,994,0.612,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.","3","ambient_control"
"216",853,2330,0.634,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"217",676,1886,0.642,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"218",254,762,0.667,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"219",395,1635,0.758,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"220",687,2043,0.664,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.","3","ambient_high"
"221",226,688,0.672,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"222",475,1480,0.679,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"223",369,1123,0.671,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"224",267,834,0.68,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"225",882,2417,0.635,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.","3","ambient_low"
"226",1111,2932,0.621,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"227",724,1976,0.634,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"228",475,1370,0.653,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"229",753,2087,0.639,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"230",449,1278,0.649,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.","3","hot_low"
"231",397,1164,0.659,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"232",947,2500,0.621,"H10.2H","hot",10,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"233",155,486,0.681,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"234",584,1501,0.611,"H8.2H","hot",8,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"235",558,1732,0.678,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.","3","hot_high"
"236",446,1161,0.616,"H6.2C","hot",6,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"237",389,1215,0.68,"H7.2","hot",7,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"238",483,1443,0.665,"H4.2C","hot",4,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"239",360,1092,0.67,"H5.2C","hot",5,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"240",245,755,0.675,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.","3","hot_control"
"241",196,549,0.643,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"242",116,352,0.67,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"243",128,371,0.655,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"244",70,218,0.679,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"245",115,344,0.666,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"246",116,387,0.7,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"247",84,307,0.726,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"248",91,249,0.635,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"249",117,353,0.669,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"250",69,218,0.683,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"251",177,517,0.658,"A10.2C","ambient",10,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"252",61,211,0.711,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"253",127,407,0.688,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
